objectid,parentid,filename,title,creator,description,date,archival date,subject,latitude,longitude,source,donor,identifier,rights,standardized rights,item_type,format original,type,format,display_template,object_location,image_small,image_thumb
b7-smallmammals-025,,b7-SmallMammals-025.pdf,Trap Site Notes [2],"Whitmer, John",Notes on trap sites which caught multiple species of animal over the course of several weeks.,1986-06-26,26 June 1986,observation; field notes; traps (trapping equipment); research paper papernotes,45.1028,-114.8517,,Taylor Ranch,b7-SmallMammals-025,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-SmallMammals-025.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-smallmammals-025_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-smallmammals-025_th.jpg
twrs278,,,Trapped,"Preston, Peter",The Tragic Story of the Lobauer-Estep Murder Affair on Big Creek,2002,2002,Big Creek; book,45.10964,-114.89223,,,,,,media,,Text,record,record,,,
b06-vegetation01,,b06-Vegetation01.pdf,Truffle Inventory of the Big Creek Drainage,"Lunceford, Earl",An inventory of collected truffle specimens from the Big Creek drainage including photographic records.,2015,2015,vegetation; environment; studies,,,,Taylor Ranch,b06-Vegetation01,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-Vegetation01.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-vegetation01_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-vegetation01_th.jpg
twrs086,,DSC_0212.JPG,Trunk made from gasoline can box (1875),,"W.H. Bolles Trunk. In the days before gasoline drums, gasoline was sold in 5-gallon cans, two cans to a wooden box, for use in areas remote from service stations. These boxes were in common use among horse campers for carrying ""the kitchen"", as it was known. They fitted nicely into canvas pack saddle bags known as an alforjas (Spanish name) which were suspended from the pack saddle by leather loops. I reinforced them with metal strips, added covers and locks and used them when horse camping in Idaho, Wyoming, Washington, and Oregon.",1926,1926,Kitchenware,45.102402,-114.850242,,,DSC_0212,,,artifacts,photographs,Image;StillImage,image/jpeg,multiple,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0212.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0212_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0212_th.jpg
twrs087,twrs086,DSC_0213.JPG,Trunk made from gasoline can box (1876),,"W.H. Bolles Trunk. In the days before gasoline drums, gasoline was sold in 5-gallon cans, two cans to a wooden box, for use in areas remote from service stations. These boxes were in common use among horse campers for carrying ""the kitchen"", as it was known. They fitted nicely into canvas pack saddle bags known as an alforjas (Spanish name) which were suspended from the pack saddle by leather loops. I reinforced them with metal strips, added covers and locks and used them when horse camping in Idaho, Wyoming, Washington, and Oregon.",1926,1926,Kitchenware,45.102402,-114.850242,,,DSC_0213,,,artifacts,photographs,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0213.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0213_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0213_th.jpg
twrs088,twrs086,DSC_0214.JPG,Trunk made from gasoline can box (1877),,"W.H. Bolles Trunk. In the days before gasoline drums, gasoline was sold in 5-gallon cans, two cans to a wooden box, for use in areas remote from service stations. These boxes were in common use among horse campers for carrying ""the kitchen"", as it was known. They fitted nicely into canvas pack saddle bags known as an alforjas (Spanish name) which were suspended from the pack saddle by leather loops. I reinforced them with metal strips, added covers and locks and used them when horse camping in Idaho, Wyoming, Washington, and Oregon.",1926,1926,Kitchenware,45.102402,-114.850242,,,DSC_0214,,,artifacts,photographs,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0214.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0214_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0214_th.jpg
twrs089,twrs086,DSC_0215.JPG,Trunk made from gasoline can box (1878),,"W.H. Bolles Trunk. In the days before gasoline drums, gasoline was sold in 5-gallon cans, two cans to a wooden box, for use in areas remote from service stations. These boxes were in common use among horse campers for carrying ""the kitchen"", as it was known. They fitted nicely into canvas pack saddle bags known as an alforjas (Spanish name) which were suspended from the pack saddle by leather loops. I reinforced them with metal strips, added covers and locks and used them when horse camping in Idaho, Wyoming, Washington, and Oregon.",1926,1926,Kitchenware,45.102402,-114.850242,,,DSC_0215,,,artifacts,photographs,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0215.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0215_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0215_th.jpg
twrs090,twrs086,DSC_0216.JPG,Trunk made from gasoline can box (1879),,"W.H. Bolles Trunk. In the days before gasoline drums, gasoline was sold in 5-gallon cans, two cans to a wooden box, for use in areas remote from service stations. These boxes were in common use among horse campers for carrying ""the kitchen"", as it was known. They fitted nicely into canvas pack saddle bags known as an alforjas (Spanish name) which were suspended from the pack saddle by leather loops. I reinforced them with metal strips, added covers and locks and used them when horse camping in Idaho, Wyoming, Washington, and Oregon.",1926,1926,Kitchenware,45.102402,-114.850242,,,DSC_0216,,,artifacts,photographs,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0216.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0216_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0216_th.jpg
twrs091,twrs086,DSC_0217.JPG,Trunk made from gasoline can box (1880),,"W.H. Bolles Trunk. In the days before gasoline drums, gasoline was sold in 5-gallon cans, two cans to a wooden box, for use in areas remote from service stations. These boxes were in common use among horse campers for carrying ""the kitchen"", as it was known. They fitted nicely into canvas pack saddle bags known as an alforjas (Spanish name) which were suspended from the pack saddle by leather loops. I reinforced them with metal strips, added covers and locks and used them when horse camping in Idaho, Wyoming, Washington, and Oregon.",1926,1926,Kitchenware,45.102402,-114.850242,,,DSC_0217,,,artifacts,photographs,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0217.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0217_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0217_th.jpg
twrs376,,MVUNDURA__2004_Sheepeater_Poster_2.pdf,Tukudika Bows and Hunting Blinds,"Mvundura, H.",Academic Poster,2004,2004,Big Creek;Indigenous Tribe;Tukudika;Tukudika; Sheepeater War,,,,,"MVUNDURA, 2004 Sheepeater Poster 2",,,,,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/MVUNDURA__2004_Sheepeater_Poster_2.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/mvundura__2004_sheepeater_poster_2_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/mvundura__2004_sheepeater_poster_2_th.jpg
b2-bats_08,,b2-Bats_08.pdf,Tuning in with a Bat Detector,,email from Jim Morris to Taylor Ranch plus article from BATS magazine about using a bat detector to pickup high frequency echolocation,1991-06-01,1 June 1991,bats,,,www.batcon.org/discover/seedark.html,,b2-Bats_08,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b2-Bats_08.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b2-bats_08_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b2-bats_08_th.jpg
b4-newsarticles-049,,b4-NewsArticles-049.pdf,Turf wars in Idaho's Wilderness,"Cockle, Richard",Article about Jim and Holly Akenson and their work at Taylor Ranch.,2006-10-29,29 October 2006,Taylor Ranch Frank Church River of No Return mules (mammals); wolves; cougars (species),45.10324947,-114.8506795,OregonLive.com,,b4-NewsArticles-049,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,article,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-NewsArticles-049.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-newsarticles-049_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-newsarticles-049_th.jpg
b10-043,,b10-043.pdf,Two articles on stone artifacts,"Stoddard, Steven E.;Kingsbury, Lawrence A.","Two articles on stone artifacts titled, ""Blood Serum Testing of Ground Stone Artifacts"" and ""Obsidian sourced from Big Southern Butte found in Adams County, Idaho.""",2004-08-17,17 August 2004,native americans; archaeological objects; culinary equipment for preparing and cooking food; analysis and testing techniques,45.10333277,-114.850658,,Taylor Ranch,b10-043,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b10-043.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b10-043_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b10-043_th.jpg
b9-268,,b9-268.pdf,Two notes from Maurice Hornocker,"Hornocker, Maurice G.",A note from Maurice Hornocker to Jim and Holly about Caswell's diaries and a note from Maurice Hornocker to Jim and Holly about updates.,2002,2002,diaries; correspondence; seasonal,,,,Taylor Ranch,b9-268,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b9-268.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b9-268_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b9-268_th.jpg
b10-092,,b10-092.pdf,Two reports by Frank Leonhardy and Fred Thomas,"Leonhardy, Frank C.;Thomas, Fred","Report titled, ""1983 Excavations at 10-VY-31 River of No Return Wilderness Area, Idaho"" on archaeological investigations conducted between June 16 and July 25, 1983 at Big Creek on the Frank Church - River of No Return Wilderness. Another incomplete manuscript titled, ""Archaeological Research in the Big Creek Ranger District, Payette National Forest, Idaho"" is also attached.",1984-06-15,15 June 1984,native americans; archaeological sites; archaeological objects; excavation (process); site investigation,45.106939,-114.8122968,,Taylor Ranch,b10-092,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b10-092.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b10-092_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b10-092_th.jpg
b3-twrs_positionreports-075,,b3-TWRS_PositionReports-075.pdf,TWRS Data Management,,TWRS Data Management July 2009 Progress Report,2009-07-01,1 July 2009,Taylor Ranch press report; plant collection; bibliography,,,,,b3-TWRS_PositionReports-075,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b3-TWRS_PositionReports-075.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b3-twrs_positionreports-075_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b3-twrs_positionreports-075_th.jpg
b5-uncatagorized-007,,b5-Uncatagorized-007.pdf,"Tyler Jack, Bleak Taylor intern 2012","Jack, Tyler","Short report by Tyler Jack, Bleak Taylor intern 2012, about his experience at Taylor Ranch.",2012,2012,,45.17364412,-114.8641546,,Taylor Ranch,b5-Uncatagorized-007,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b5-Uncatagorized-007.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b5-uncatagorized-007_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b5-uncatagorized-007_th.jpg
b06-wildernessinstitutesandareas04,,b06-WildernessInstitutesAndAreas04.pdf,U. S. Forest Service Public Hearings On Salmon Breaks and Idaho Primitive Areas and the Salmon River,"Gruenfeld, Jay",Statements by Jay Gruenfeld about the reclassification of the Idaho Primitive Area.,1973-11-03,3 November 1973,ecology; land use,46.402838,-117.001428,,Taylor Ranch,b06-WildernessInstitutesAndAreas04,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-WildernessInstitutesAndAreas04.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-wildernessinstitutesandareas04_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-wildernessinstitutesandareas04_th.jpg
b06-maps14,,b06-Maps14.pdf,"U. S. Geographical Survey Price List - March 1, 1971",U.S. Department of the Interior Geological Survey.,A cost guide for aerial photograph reproductions.,1971-03-01,1 March 1971,maps; aerial photography; print reproductions,,,,Taylor Ranch,b06-Maps14,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-Maps14.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-maps14_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-maps14_th.jpg
b08-payettenationalforestliterature68,,b08-PayetteNationalForestLiterature68.pdf,"U.S. Army Military History Institute History Collection Carlisle Barracks, PA 17013-5008","Ricky, Don Jr.","Written by Don Ricky, this document details the awarding of an Indian Wars Campaign Medal to black soldiers.",1997-02,February 1997,local history; decoration of honor; veterans,45.10463362,-115.7637658,Heritage Program,Taylor Ranch,b08-PayetteNationalForestLiterature68,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b08-PayetteNationalForestLiterature68.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b08-payettenationalforestliterature68_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b08-payettenationalforestliterature68_th.jpg
b4-magazines-013,,b4-Magazines-013.pdf,UI Anthropologist Tracks Idaho's Shadowy People,"Pritchett, Jane",Article in Idaho the University,1986,1986,Taylor Ranch Big Horn Crags; sheepeater; Shoshone;Tukudika; pictographs,,,Jane Pritchett,,b4-Magazines-013,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,article,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-Magazines-013.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-magazines-013_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-magazines-013_th.jpg
b4-newsarticles-025,,b4-NewsArticles-025.pdf,UI Professor dies on Salmon River,"Metzler, Karma",Obituary and Article of Dr. Frank Leonhardy's death on the Salmon River.,1991-08-19,19 August 1991,"Salmon River; anrthopology; Cottonwood, Idaho",46.044964,-116.350712,Karma Metzler,,b4-NewsArticles-025,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,article,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-NewsArticles-025.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-newsarticles-025_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-newsarticles-025_th.jpg
b4-newsarticles-087,,b4-NewsArticles-087.pdf,UI Research Center: Who's Responsible?,"Johnson, David",Article discussing the U of I Wilderness Research Center's leadership. Second article,1975-12-13,13 December 1975,Taylor Ranch University of Idaho,45.10324947,-114.8506795,Idahonian,,b4-NewsArticles-087,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,article,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-NewsArticles-087.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-newsarticles-087_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-newsarticles-087_th.jpg
b4-newsarticles-037,,b4-NewsArticles-037.pdf,UI Student combines love of flying with wildlife conservation,Star News,"Article in the McCall Newspaper, Star News, about local student who spent a summer at Taylor Ranch and got his pilot's license",2008-04-10,10 April 2008,McCall; Taylor Ranch back-country flying,,,Star News,,b4-NewsArticles-037,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,article,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-NewsArticles-037.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-newsarticles-037_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-newsarticles-037_th.jpg
b4-newsarticles-055,,b4-NewsArticles-055.pdf,UI student from McCall combines love of flying with wildlife conservation,,"Article about UI student, Scott Fereday.",,,Taylor Ranch University of Idaho,45.10324947,-114.8506795,,,b4-NewsArticles-055,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,article,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-NewsArticles-055.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-newsarticles-055_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-newsarticles-055_th.jpg
b9-296,,b9-296.pdf,UI Wilderness Research Center Advisory Committee Meeting,taylor wilderness research station,A copy of the Wilderness Research Center Advisory Committee meeting agenda for November 12.,1992-11-12,12 November 1992,meetings;committees,,,,Taylor Ranch,b9-296,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b9-296.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b9-296_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b9-296_th.jpg
b06-wildernessrecreation04,,b06-WildernessRecreation04.pdf,"Understanding The Human Dimensions Of Recreational Fishing In Big Creek, Frank Church Wilderness Of Idaho","Alvarez, Bernardo",A report examining baseline information on the profile and motivations of Big Creek anglers and their economic impact on the area.,2005-04-26,26 April 2005,land use; ecology; public land,,,,Taylor Ranch,b06-WildernessRecreation04,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-WildernessRecreation04.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-wildernessrecreation04_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-wildernessrecreation04_th.jpg
twrs637,,ECB_Thesis_Pilcher.pdf,Understanding the Timing and Consequences of Migration Events for Juvenile Chinook salmon (Oncorhynchus tshawytscha) in a Wilderness System,"Pilcher, K.",Thesis,2009,2009,salmonids; streams; hydrology; Big Creek,,,,,ECB_Thesis_Pilcher,,,,,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/ECB_Thesis_Pilcher.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/ecb_thesis_pilcher_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/ecb_thesis_pilcher_th.jpg
twrs543,,Whiting-John_MScThesis_Geosciences_ISU_2015.pdf,"Understanding Tree Water Use Across the Snow-Rain Transition in Idaho's Mountain Watersheds: Interactions Between Stream Networks, Transpiration, and Basin Geomorphology","Whiting, J.",Thesis,2015,2015,"Idaho State University; geomorphology, water, hydrology, tree; Big Creek; geology; springs",,,,Idaho State University,Whiting-John_MScThesis_Geosciences_ISU_2015,,,,,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/Whiting-John_MScThesis_Geosciences_ISU_2015.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/whiting-john_mscthesis_geosciences_isu_2015_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/whiting-john_mscthesis_geosciences_isu_2015_th.jpg
b06-maps09,,b06-Maps09.pdf,United States Department of the Interior Geological Survey Memorandum,"Letey, A.E.",An order form for photo indexes.,1971-06-30,30 June 1971,maps; aerial photography; print reproductions,,,,Taylor Ranch,b06-Maps09,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-Maps09.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-maps09_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-maps09_th.jpg
twrs092,,DSC_0218.JPG,United States Forest Service Supply Parachute (1902),,United States Forest Service Supply Parachute,2021,2021,United States Forest Service,45.102402,-114.850242,,,DSC_0218,,,artifacts,photographs,Image;StillImage,image/jpeg,multiple,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0218.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0218_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0218_th.jpg
twrs093,twrs092,DSC_0219.JPG,United States Forest Service Supply Parachute (1903),,United States Forest Service Supply Parachute,2021,2021,United States Forest Service,45.102402,-114.850242,,,DSC_0219,,,artifacts,photographs,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0219.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0219_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0219_th.jpg
twrs094,twrs092,DSC_0220.JPG,United States Forest Service Supply Parachute (1904),,United States Forest Service Supply Parachute,2021,2021,United States Forest Service,45.102402,-114.850242,,,DSC_0220,,,artifacts,photographs,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0220.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0220_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0220_th.jpg
twrs095,twrs092,DSC_0221.JPG,United States Forest Service Supply Parachute (1905),,United States Forest Service Supply Parachute,2021,2021,United States Forest Service,45.102402,-114.850242,,,DSC_0221,,,artifacts,photographs,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0221.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0221_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0221_th.jpg
twrs096,twrs092,DSC_0222.JPG,United States Forest Service Supply Parachute (1906),,United States Forest Service Supply Parachute,2021,2021,United States Forest Service,45.102402,-114.850242,,,DSC_0222,,,artifacts,photographs,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0222.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0222_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0222_th.jpg
twrs097,twrs092,DSC_0223.JPG,United States Forest Service Supply Parachute (1907),,United States Forest Service Supply Parachute,2021,2021,United States Forest Service,45.102402,-114.850242,,,DSC_0223,,,artifacts,photographs,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/DSC_0223.JPG,https://www.lib.uidaho.edu/digital/objects/twrs/small/dsc_0223_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dsc_0223_th.jpg
